OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,INTPTLAT,INTPTLON,NAMELSAD10,UATYP10,joinMatch,BA_Climate,Shape_Length,Shape_Area
32,08,005,007107,08005007107,71.07,Census Tract 71.07,+39.5891455,-104.6788855,"Denver--Aurora, CO Urbanized Area",U,G0800050007107,Cold,0.230734285130963,0.001477287800500
33,08,005,007103,08005007103,71.03,Census Tract 71.03,+39.6880444,-104.5189211,Rural Area,R,G0800050007103,Cold,0.571381002451617,0.017414970373501
34,08,005,080500,08005080500,805,Census Tract 805,+39.6712836,-104.8382120,"Denver--Aurora, CO Urbanized Area",U,G0800050080500,Cold,0.050176950083887,0.000132740169000
35,08,005,083900,08005083900,839,Census Tract 839,+39.6461495,-104.8243559,"Denver--Aurora, CO Urbanized Area",U,G0800050083900,Cold,0.052591243274050,0.000144409345500
36,08,041,005000,08041005000,50,Census Tract 50,+38.8509467,-104.7109360,"Colorado Springs, CO Urbanized Area",U,G0800410005000,Cold,0.095898024129754,0.000515897702500
37,08,041,007300,08041007300,73,Census Tract 73,+39.0734285,-104.8069434,"Colorado Springs, CO Urbanized Area",U,G0800410007300,Cold,0.304822821441579,0.004015822334000
38,08,041,000101,08041000101,1.01,Census Tract 1.01,+38.8827260,-104.7779277,"Colorado Springs, CO Urbanized Area",U,G0800410000101,Cold,0.122037061601323,0.000710922031500
39,08,041,000102,08041000102,1.02,Census Tract 1.02,+38.8638068,-104.7671221,"Colorado Springs, CO Urbanized Area",U,G0800410000102,Cold,0.059959501678847,0.000169482220500
40,08,041,000202,08041000202,2.02,Census Tract 2.02,+38.8950867,-104.7720070,"Colorado Springs, CO Urbanized Area",U,G0800410000202,Cold,0.072957601666235,0.000283899608000
41,08,041,000301,08041000301,3.01,Census Tract 3.01,+38.8798052,-104.8031544,"Colorado Springs, CO Urbanized Area",U,G0800410000301,Cold,0.087042298457689,0.000191347991000
42,08,041,000400,08041000400,4,Census Tract 4,+38.8697973,-104.8042701,"Colorado Springs, CO Urbanized Area",U,G0800410000400,Cold,0.067006014844483,0.000177693064000
43,08,041,000500,08041000500,5,Census Tract 5,+38.8648856,-104.8120154,"Colorado Springs, CO Urbanized Area",U,G0800410000500,Cold,0.061385688953972,0.000139191086000
44,08,041,000600,08041000600,6,Census Tract 6,+38.8644641,-104.7853352,"Colorado Springs, CO Urbanized Area",U,G0800410000600,Cold,0.055627581839217,0.000176964999000
45,08,041,000700,08041000700,7,Census Tract 7,+38.8550267,-104.7855084,"Colorado Springs, CO Urbanized Area",U,G0800410000700,Cold,0.057145046031596,0.000168627972000
46,08,041,000800,08041000800,8,Census Tract 8,+38.8544726,-104.8006846,"Colorado Springs, CO Urbanized Area",U,G0800410000800,Cold,0.061062995085178,0.000232230905000
47,08,041,000900,08041000900,9,Census Tract 9,+38.8554929,-104.8149195,"Colorado Springs, CO Urbanized Area",U,G0800410000900,Cold,0.044171208170928,0.000109586031500
48,08,041,001000,08041001000,10,Census Tract 10,+38.8592810,-104.8259251,"Colorado Springs, CO Urbanized Area",U,G0800410001000,Cold,0.062743386012086,0.000204656886000
49,08,041,001101,08041001101,11.01,Census Tract 11.01,+38.8701033,-104.8288393,"Colorado Springs, CO Urbanized Area",U,G0800410001101,Cold,0.055933252586830,0.000131238154000
50,08,041,001104,08041001104,11.04,Census Tract 11.04,+38.8651678,-104.8431949,"Colorado Springs, CO Urbanized Area",U,G0800410001104,Cold,0.089047299148509,0.000440486632000
51,08,041,001301,08041001301,13.01,Census Tract 13.01,+38.8483933,-104.8632762,"Colorado Springs, CO Urbanized Area",U,G0800410001301,Cold,0.050402426037745,0.000137987549000
52,08,045,951702,08045951702,9517.02,Census Tract 9517.02,+39.5347649,-107.3102206,"Glenwood Springs, CO Urban Cluster",C,G0800450951702,Cold,0.193851645808861,0.001190845106000
53,08,045,951902,08045951902,9519.02,Census Tract 9519.02,+39.6601966,-107.5101472,"New Castle, CO Urban Cluster",C,G0800450951902,Cold,1.634600084935052,0.075732626531999
54,08,035,013907,08035013907,139.07,Census Tract 139.07,+39.4914702,-104.7579735,"Denver--Aurora, CO Urbanized Area",U,G0800350013907,Cold,0.139747014547354,0.000663146442500
55,08,035,014602,08035014602,146.02,Census Tract 146.02,+39.2393453,-104.7015733,Rural Area,R,G0800350014602,Cold,0.732919019061699,0.022401801749999
56,08,035,014202,08035014202,142.02,Census Tract 142.02,+39.4112500,-105.0161253,"Roxborough Park, CO Urban Cluster",C,G0800350014202,Cold,0.605341913568590,0.013473047881500
57,08,014,030800,08014030800,308,Census Tract 308,+39.9200732,-105.0428103,"Denver--Aurora, CO Urbanized Area",U,G0800140030800,Cold,0.066368307501351,0.000269489463000
58,08,014,031400,08014031400,314,Census Tract 314,+40.0059826,-104.9943317,"Denver--Aurora, CO Urbanized Area",U,G0800140031400,Cold,0.356441851365825,0.002489132657499
59,08,014,031300,08014031300,313,Census Tract 313,+39.9704923,-105.0277683,"Denver--Aurora, CO Urbanized Area",U,G0800140031300,Cold,0.235758672499414,0.001105105058500
60,08,014,031100,08014031100,311,Census Tract 311,+39.9154482,-105.1261402,"Denver--Aurora, CO Urbanized Area",U,G0800140031100,Cold,0.314805583847450,0.001579229196500
61,08,117,000300,08117000300,3,Census Tract 3,+39.5563903,-106.1702413,"Silverthorne--Frisco, CO Urban Cluster",C,G0801170000300,Very Cold,0.958136137207610,0.029339085864500
62,08,117,000100,08117000100,1,Census Tract 1,+39.7466315,-106.2705296,"Silverthorne--Frisco, CO Urban Cluster",C,G0801170000100,Very Cold,1.356279412936508,0.072240703797499
63,08,117,000200,08117000200,2,Census Tract 2,+39.6228033,-105.8547889,"Silverthorne--Frisco, CO Urban Cluster",C,G0801170000200,Very Cold,1.002240384486168,0.032448212075000
64,08,061,960100,08061960100,9601,Census Tract 9601,+38.3876630,-102.7568494,Rural Area,R,G0800610960100,Cold,3.617122482959318,0.477251870044499
65,08,031,005002,08031005002,50.02,Census Tract 50.02,+39.6995649,-104.9078212,"Denver--Aurora, CO Urbanized Area",U,G0800310005002,Cold,0.071764048110375,0.000221529734500
66,08,035,014138,08035014138,141.38,Census Tract 141.38,+39.5613717,-104.9150649,"Denver--Aurora, CO Urbanized Area",U,G0800350014138,Cold,0.072088729571844,0.000197603281500
67,08,035,014134,08035014134,141.34,Census Tract 141.34,+39.5168815,-104.9506853,"Denver--Aurora, CO Urbanized Area",U,G0800350014134,Cold,0.088584494409230,0.000332807486000
68,08,035,014132,08035014132,141.32,Census Tract 141.32,+39.5320325,-104.9602300,"Denver--Aurora, CO Urbanized Area",U,G0800350014132,Cold,0.083070452929283,0.000346687648000
69,08,035,014140,08035014140,141.40,Census Tract 141.40,+39.5305746,-104.9042401,"Denver--Aurora, CO Urbanized Area",U,G0800350014140,Cold,0.103287544643133,0.000410572827500
70,08,035,013910,08035013910,139.10,Census Tract 139.10,+39.5034616,-104.7371996,"Denver--Aurora, CO Urbanized Area",U,G0800350013910,Cold,0.126868538227441,0.000541143013500
71,08,123,002013,08123002013,20.13,Census Tract 20.13,+40.1058703,-104.9518375,"Firestone--Frederick, CO Urban Cluster",C,G0801230002013,Cold,0.127636318950045,0.000843293435500
72,08,123,000705,08123000705,7.05,Census Tract 7.05,+40.3951981,-104.6256426,"Greeley, CO Urbanized Area",U,G0801230000705,Cold,0.548973063613383,0.009441323248999
73,08,041,003308,08041003308,33.08,Census Tract 33.08,+38.7715413,-104.8060449,"Colorado Springs, CO Urbanized Area",U,G0800410003308,Cold,0.063467266002368,0.000173299551500
74,08,041,004511,08041004511,45.11,Census Tract 45.11,+38.6117809,-104.6756561,"Colorado Springs, CO Urbanized Area",U,G0800410004511,Cold,0.752616515430736,0.017343008350000
75,08,041,005108,08041005108,51.08,Census Tract 51.08,+38.8775703,-104.7004488,"Colorado Springs, CO Urbanized Area",U,G0800410005108,Cold,0.107641392883135,0.000654967308000
76,08,041,006902,08041006902,69.02,Census Tract 69.02,+38.9444773,-104.7483662,"Colorado Springs, CO Urbanized Area",U,G0800410006902,Cold,0.075942544234578,0.000257553979000
77,08,041,004705,08041004705,47.05,Census Tract 47.05,+38.9241478,-104.7346443,"Colorado Springs, CO Urbanized Area",U,G0800410004705,Cold,0.081805982856484,0.000314226355500
78,08,041,005107,08041005107,51.07,Census Tract 51.07,+38.9197338,-104.6887562,"Colorado Springs, CO Urbanized Area",U,G0800410005107,Cold,0.125628332721104,0.000487480227000
79,08,001,061200,08001061200,612,Census Tract 612,+39.9911848,-104.9499700,"Denver--Aurora, CO Urbanized Area",U,G0800010061200,Cold,0.169746949013735,0.001135509924000
80,08,001,008543,08001008543,85.43,Census Tract 85.43,+39.9844929,-104.7840078,"Denver--Aurora, CO Urbanized Area",U,G0800010008543,Cold,0.115396324930887,0.000735078996500
81,08,001,008542,08001008542,85.42,Census Tract 85.42,+39.9887591,-104.7515375,"Denver--Aurora, CO Urbanized Area",U,G0800010008542,Cold,0.150953998955034,0.001018275428500
82,08,031,015400,08031015400,154,Census Tract 154,+39.7875328,-105.0439316,"Denver--Aurora, CO Urbanized Area",U,G0800310015400,Cold,0.098003635397541,0.000280373677000
83,08,031,004405,08031004405,44.05,Census Tract 44.05,+39.7197984,-104.8889132,"Denver--Aurora, CO Urbanized Area",U,G0800310004405,Cold,0.111925980657235,0.000627468787000
84,08,005,004952,08005004952,49.52,Census Tract 49.52,+39.7043085,-104.9356763,"Denver--Aurora, CO Urbanized Area",U,G0800050004952,Cold,0.083020726776208,0.000140196878000
85,08,123,001406,08123001406,14.06,Census Tract 14.06,+40.3876601,-104.7835949,"Greeley, CO Urbanized Area",U,G0801230001406,Cold,0.203163635561587,0.000784909649500
86,08,123,001405,08123001405,14.05,Census Tract 14.05,+40.3815486,-104.7612254,"Greeley, CO Urbanized Area",U,G0801230001405,Cold,0.139171684822185,0.000408058407499
87,08,123,001006,08123001006,10.06,Census Tract 10.06,+40.3774873,-104.7056038,"Greeley, CO Urbanized Area",U,G0801230001006,Cold,0.074253530932266,0.000294739247000
88,08,123,000703,08123000703,7.03,Census Tract 7.03,+40.4028625,-104.6615678,"Greeley, CO Urbanized Area",U,G0801230000703,Cold,0.115002394859330,0.000585471575500
89,08,043,980200,08043980200,9802,Census Tract 9802,+38.3595311,-105.0979393,"Florence, CO Urban Cluster",C,G0800430980200,Cold,0.065512678174624,0.000266196947500
90,08,013,060600,08013060600,606,Census Tract 606,+39.9511119,-105.1907625,"Denver--Aurora, CO Urbanized Area",U,G0800130060600,Cold,0.327058326483353,0.004125970490500
91,08,013,012608,08013012608,126.08,Census Tract 126.08,+40.0035910,-105.2418669,"Boulder, CO Urbanized Area",U,G0800130012608,Cold,0.042706883200111,0.000094477544000
92,08,013,013213,08013013213,132.13,Census Tract 132.13,+40.1451518,-105.1673929,"Longmont, CO Urbanized Area",U,G0800130013213,Cold,0.243952224696370,0.002175664112000
93,08,013,012607,08013012607,126.07,Census Tract 126.07,+40.0038803,-105.2535238,"Boulder, CO Urbanized Area",U,G0800130012607,Cold,0.034987424427350,0.000075760126500
94,08,013,013505,08013013505,135.05,Census Tract 135.05,+40.1959100,-105.0977014,"Longmont, CO Urbanized Area",U,G0800130013505,Cold,0.047977089025902,0.000136803856000
95,08,013,060800,08013060800,608,Census Tract 608,+39.9687243,-105.0817956,"Denver--Aurora, CO Urbanized Area",U,G0800130060800,Cold,0.403336790524049,0.002283290787000
96,08,041,003306,08041003306,33.06,Census Tract 33.06,+38.6982861,-104.8981559,"Colorado Springs, CO Urbanized Area",U,G0800410003306,Cold,0.868335311660965,0.017470962730002
97,08,041,004403,08041004403,44.03,Census Tract 44.03,+38.6029880,-104.8118104,"Colorado Springs, CO Urbanized Area",U,G0800410004403,Cold,0.847564121217533,0.033094101428999
98,08,041,004401,08041004401,44.01,Census Tract 44.01,+38.7386944,-104.8043505,"Colorado Springs, CO Urbanized Area",U,G0800410004401,Cold,0.153592366108887,0.000793570184000
99,08,041,003305,08041003305,33.05,Census Tract 33.05,+38.7677829,-104.8383801,"Colorado Springs, CO Urbanized Area",U,G0800410003305,Cold,0.247441139127623,0.001382301903500
100,08,041,003307,08041003307,33.07,Census Tract 33.07,+38.7851613,-104.8025191,"Colorado Springs, CO Urbanized Area",U,G0800410003307,Cold,0.090642443635884,0.000235286813000
101,08,041,003802,08041003802,38.02,Census Tract 38.02,+39.0072966,-104.8523026,"Air Force Academy, CO Urban Cluster",C,G0800410003802,Cold,0.395874371890797,0.005051550857999
102,08,041,007602,08041007602,76.02,Census Tract 76.02,+39.0341474,-104.6531592,"Colorado Springs, CO Urbanized Area",U,G0800410007602,Cold,0.352533829051719,0.006897325468000
103,08,041,007601,08041007601,76.01,Census Tract 76.01,+38.9616120,-104.6543155,"Colorado Springs, CO Urbanized Area",U,G0800410007601,Cold,0.301461216453658,0.005242700589500
104,08,041,004602,08041004602,46.02,Census Tract 46.02,+38.7105177,-104.2840142,Rural Area,R,G0800410004602,Cold,2.147338470724705,0.184692708260500
105,08,041,004603,08041004603,46.03,Census Tract 46.03,+38.7678079,-104.5221938,"Colorado Springs, CO Urbanized Area",U,G0800410004603,Cold,0.943398701010482,0.039258624414501
106,08,041,004706,08041004706,47.06,Census Tract 47.06,+38.9344813,-104.7282607,"Colorado Springs, CO Urbanized Area",U,G0800410004706,Cold,0.114576583386631,0.000438120563000
107,08,041,005106,08041005106,51.06,Census Tract 51.06,+38.9255485,-104.7050566,"Colorado Springs, CO Urbanized Area",U,G0800410005106,Cold,0.111074758599399,0.000635977408000
108,08,041,007102,08041007102,71.02,Census Tract 71.02,+38.9678913,-104.7570915,"Colorado Springs, CO Urbanized Area",U,G0800410007102,Cold,0.143531815146059,0.000744152564500
109,08,041,007201,08041007201,72.01,Census Tract 72.01,+39.0090066,-104.7995082,"Colorado Springs, CO Urbanized Area",U,G0800410007201,Cold,0.205546783766772,0.001797967193000
110,08,041,007101,08041007101,71.01,Census Tract 71.01,+38.9662086,-104.7220816,"Colorado Springs, CO Urbanized Area",U,G0800410007101,Cold,0.233114330561953,0.001643565006500
111,08,041,003801,08041003801,38.01,Census Tract 38.01,+38.9773725,-104.8672384,"Air Force Academy, CO Urban Cluster",C,G0800410003801,Cold,0.272162373260158,0.002733370750500
112,08,013,012508,08013012508,125.08,Census Tract 125.08,+39.9761681,-105.2348888,"Boulder, CO Urbanized Area",U,G0800130012508,Cold,0.093327400334802,0.000375749795000
113,08,013,012509,08013012509,125.09,Census Tract 125.09,+39.9779451,-105.2504381,"Boulder, CO Urbanized Area",U,G0800130012509,Cold,0.059541192704392,0.000191463995500
114,08,013,012511,08013012511,125.11,Census Tract 125.11,+39.9937073,-105.2411617,"Boulder, CO Urbanized Area",U,G0800130012511,Cold,0.074402417258348,0.000204925757500
115,08,013,012603,08013012603,126.03,Census Tract 126.03,+40.0082680,-105.2319124,"Boulder, CO Urbanized Area",U,G0800130012603,Cold,0.054507882287284,0.000183562094000
116,08,013,012701,08013012701,127.01,Census Tract 127.01,+40.0843340,-105.2472222,"Boulder, CO Urbanized Area",U,G0800130012701,Cold,0.316160640756481,0.005320647662501
117,08,101,001100,08101001100,11,Census Tract 11,+38.2731641,-104.5762487,"Pueblo, CO Urbanized Area",U,G0801010001100,Cold,0.078984988928989,0.000145755155500
118,08,101,002903,08101002903,29.03,Census Tract 29.03,+38.3532033,-104.6333848,"Pueblo, CO Urbanized Area",U,G0801010002903,Cold,0.303221697577156,0.002730958788000
119,08,013,012705,08013012705,127.05,Census Tract 127.05,+40.0613388,-105.2101787,"Boulder, CO Urbanized Area",U,G0800130012705,Cold,0.112426060470935,0.000475799811000
120,08,013,012708,08013012708,127.08,Census Tract 127.08,+40.0641576,-105.1867819,"Boulder, CO Urbanized Area",U,G0800130012708,Cold,0.134564890288822,0.000596891254000
121,08,013,012709,08013012709,127.09,Census Tract 127.09,+40.0579438,-105.1579995,"Boulder, CO Urbanized Area",U,G0800130012709,Cold,0.150808502762593,0.001040977922000
122,08,013,012903,08013012903,129.03,Census Tract 129.03,+40.0043825,-105.1136792,"Lafayette--Louisville--Erie, CO Urbanized Area",U,G0800130012903,Cold,0.085887901891161,0.000410723649500
123,08,101,002906,08101002906,29.06,Census Tract 29.06,+38.3453572,-104.8701281,"Pueblo, CO Urbanized Area",U,G0801010002906,Cold,0.476705719000453,0.007391615182000
124,08,101,002802,08101002802,28.02,Census Tract 28.02,+38.2594134,-104.6729798,"Pueblo, CO Urbanized Area",U,G0801010002802,Cold,0.101478342169812,0.000419466758000
125,08,101,000800,08101000800,8,Census Tract 8,+38.2785522,-104.5962586,"Pueblo, CO Urbanized Area",U,G0801010000800,Cold,0.060100202908831,0.000217957279500
126,08,101,000902,08101000902,9.02,Census Tract 9.02,+38.2919649,-104.5780492,"Pueblo, CO Urbanized Area",U,G0801010000902,Cold,0.095448645027356,0.000381817832000
127,08,101,000903,08101000903,9.03,Census Tract 9.03,+38.3084072,-104.5776867,"Pueblo, CO Urbanized Area",U,G0801010000903,Cold,0.053230857042880,0.000107381528000
128,08,013,012904,08013012904,129.04,Census Tract 129.04,+39.9902335,-105.1114570,"Lafayette--Louisville--Erie, CO Urbanized Area",U,G0800130012904,Cold,0.087069019202260,0.000359866148500
129,08,013,012905,08013012905,129.05,Census Tract 129.05,+39.9942714,-105.0959617,"Lafayette--Louisville--Erie, CO Urbanized Area",U,G0800130012905,Cold,0.048284189517189,0.000140389004500
130,08,013,060900,08013060900,609,Census Tract 609,+39.9742346,-105.1033089,"Lafayette--Louisville--Erie, CO Urbanized Area",U,G0800130060900,Cold,0.137637489182517,0.000818797922000
131,08,013,012907,08013012907,129.07,Census Tract 129.07,+40.0109718,-105.0792188,"Lafayette--Louisville--Erie, CO Urbanized Area",U,G0800130012907,Cold,0.124101222788170,0.000689453292000
132,08,013,013003,08013013003,130.03,Census Tract 130.03,+40.0013758,-105.1513780,"Lafayette--Louisville--Erie, CO Urbanized Area",U,G0800130013003,Cold,0.154629843651192,0.001300644782500
133,08,101,000600,08101000600,6,Census Tract 6,+38.2798087,-104.6183709,"Pueblo, CO Urbanized Area",U,G0801010000600,Cold,0.047588426520005,0.000093127372500
134,08,031,004404,08031004404,44.04,Census Tract 44.04,+39.7365094,-104.8940558,"Denver--Aurora, CO Urbanized Area",U,G0800310004404,Cold,0.052121050041100,0.000137031533000
135,08,031,004403,08031004403,44.03,Census Tract 44.03,+39.7443925,-104.8948131,"Denver--Aurora, CO Urbanized Area",U,G0800310004403,Cold,0.059359633953947,0.000153983258500
136,08,101,000904,08101000904,9.04,Census Tract 9.04,+38.2977150,-104.5932914,"Pueblo, CO Urbanized Area",U,G0801010000904,Cold,0.083761352698742,0.000253108968000
137,08,101,000905,08101000905,9.05,Census Tract 9.05,+38.3049404,-104.5969301,"Pueblo, CO Urbanized Area",U,G0801010000905,Cold,0.040967156111712,0.000074711371500
138,08,101,001200,08101001200,12,Census Tract 12,+38.2650500,-104.5837283,"Pueblo, CO Urbanized Area",U,G0801010001200,Cold,0.083814440257557,0.000276986535000
139,08,101,001800,08101001800,18,Census Tract 18,+38.2557902,-104.6381775,"Pueblo, CO Urbanized Area",U,G0801010001800,Cold,0.049104510358121,0.000112696784500
140,08,101,001900,08101001900,19,Census Tract 19,+38.2546304,-104.6229659,"Pueblo, CO Urbanized Area",U,G0801010001900,Cold,0.041844642967517,0.000097192478000
141,08,101,002000,08101002000,20,Census Tract 20,+38.2491686,-104.6085138,"Pueblo, CO Urbanized Area",U,G0801010002000,Cold,0.081437090775716,0.000244336783500
142,08,101,002100,08101002100,21,Census Tract 21,+38.2423836,-104.6173384,"Pueblo, CO Urbanized Area",U,G0801010002100,Cold,0.038156494560691,0.000084199108500
143,08,101,002200,08101002200,22,Census Tract 22,+38.2313613,-104.6157725,"Pueblo, CO Urbanized Area",U,G0801010002200,Cold,0.044595245136266,0.000081891005000
144,08,013,013004,08013013004,130.04,Census Tract 130.04,+39.9803812,-105.1573428,"Lafayette--Louisville--Erie, CO Urbanized Area",U,G0800130013004,Cold,0.065890180915164,0.000221134080500
145,08,013,013005,08013013005,130.05,Census Tract 130.05,+39.9796050,-105.1409438,"Lafayette--Louisville--Erie, CO Urbanized Area",U,G0800130013005,Cold,0.069141320732975,0.000204693698500
146,08,013,013006,08013013006,130.06,Census Tract 130.06,+39.9695323,-105.1432151,"Lafayette--Louisville--Erie, CO Urbanized Area",U,G0800130013006,Cold,0.103015075939435,0.000340745459000
147,08,013,013205,08013013205,132.05,Census Tract 132.05,+40.0939266,-105.1418100,"Longmont, CO Urbanized Area",U,G0800130013205,Cold,0.227183666892382,0.002412287254000
148,08,013,013207,08013013207,132.07,Census Tract 132.07,+40.1905286,-105.1535318,"Longmont, CO Urbanized Area",U,G0800130013207,Cold,0.123426083970091,0.000689591779500
149,08,031,003701,08031003701,37.01,Census Tract 37.01,+39.7444161,-104.9509827,"Denver--Aurora, CO Urbanized Area",U,G0800310003701,Cold,0.060053836971438,0.000209496733500
150,08,031,003702,08031003702,37.02,Census Tract 37.02,+39.7365218,-104.9543646,"Denver--Aurora, CO Urbanized Area",U,G0800310003702,Cold,0.037078591246874,0.000074199312000
151,08,031,003703,08031003703,37.03,Census Tract 37.03,+39.7361181,-104.9450408,"Denver--Aurora, CO Urbanized Area",U,G0800310003703,Cold,0.033878162599942,0.000071604051500
152,08,031,003800,08031003800,38,Census Tract 38,+39.7193788,-104.9492942,"Denver--Aurora, CO Urbanized Area",U,G0800310003800,Cold,0.064440199088329,0.000229922308500
153,08,031,003901,08031003901,39.01,Census Tract 39.01,+39.7049882,-104.9504384,"Denver--Aurora, CO Urbanized Area",U,G0800310003901,Cold,0.077108792279824,0.000315816258000
154,08,031,004102,08031004102,41.02,Census Tract 41.02,+39.7720890,-104.9123002,"Denver--Aurora, CO Urbanized Area",U,G0800310004102,Cold,0.089097354840986,0.000418833807500
155,08,031,004103,08031004103,41.03,Census Tract 41.03,+39.7565221,-104.9314085,"Denver--Aurora, CO Urbanized Area",U,G0800310004103,Cold,0.058365763706401,0.000199642052500
156,08,031,004104,08031004104,41.04,Census Tract 41.04,+39.7565128,-104.9128475,"Denver--Aurora, CO Urbanized Area",U,G0800310004104,Cold,0.059622165553926,0.000206352089500
